Type,Price,Bedrooms,Bathrooms,Area,Furnished,Compound,Payment_Option,Delivery_Date,Delivery_Term,City,Description,Security,Balcony,Private_Garden,Pets_Allowed,Covered_Parking,Maids_Room,Electricity_Meter,Natural_Gas,Landline,Pool,Central_heating,Built_in_Kitchen_Appliances,Elevator
Twin House,1500000.0,3,4,440,No,Madinaty,Installment,Ready to move,Finished,Shorouk City,فيلا للبيع امام مدينتي مباشرة بالتقسيط,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable
Town House,5700000.0,4,4,297,Unknown,Grand Heights,Cash,Ready to move,Finished,6th of October,For sale Town House Corner 297 m2 fully finished in Grand Heights,Avilable,Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable
Twin House,10000000.0,4,5,500,No,Unknown,Cash,Ready to move,Not Finished,Madinaty,ارخص فيلا تطل علي البحيرات فيو مفتوح,Avilable,Avilable,Avilable,Not Avilable,Avilable,Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable
Twin House,11422000.0,5,4,462,No,Alma,Installment,Unknown,Unknown,Sheikh Zayed,بالتقسيط امتلك فيلا 462متر بارقي كمبوند بالشيخ زايد,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable
Stand Alone Villa,8450000.0,3,2,240,No,Unknown,Cash or Installment,2026,Finished,New Cairo - El Tagamoa,كمبوند البروج إمكان مصر فى الشروق سيتى متشطب albrouj amakn masr,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable
Stand Alone Villa,10074450.0,3,4,280,Unknown,Mountain View Chillout Park,Cash or Installment,Unknown,Semi Finished,6th of October,Villa فيو مميز عليLake للبيع بالتقسط 7 سنين فى ماونتن فيو تشيل اوت,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable
Stand Alone Villa,2470000.0,3,3,175,No,Sarai,Cash or Installment,2025,Core & Shell,New Cairo - El Tagamoa,فيلا للبيع في كمبوند سراي بالقاهرة الجديدة بمقدم 190 ألف,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable
Twin House,7500000.0,3,4,303,No,Greens,Cash,Ready to move,Finished,Sheikh Zayed,فيلا للبيع 303م كاملة التشطيب بأقل سعر في كمبوند جرينز فى الشيخ زايد,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Not Avilable,Avilable,Avilable,Not Avilable
Stand Alone Villa,14110000.0,5,5,410,No,EL Patio 5,Cash or Installment,Ready to move,Semi Finished,Shorouk City,Standalone with basement El Shorouk 15% DP & inst 5 years,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable
Stand Alone Villa,24000000.0,5,5,603,No,Mountain View 2,Cash,Ready to move,Core & Shell,New Cairo - El Tagamoa,Standalone Best View in Mountain View 2 Compound New Cairo,Avilable,Avilable,Avilable,Not Avilable,Not Avilable,Avilable,Not Avilable,Avilable,Not Avilable,Not Avilable,Avilable,Avilable,Avilable
Twin House,11900000.0,2,4,366,No,Unknown,Cash or Installment,Unknown,Finished,New Capital City,توين هاوس للبيع متشطب بالكامل بتقسيط ع10سنين في حي R3 المال والأعمال,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Avilable,Avilable,Not Avilable
Stand Alone Villa,15500000.0,5,5,720,Unknown,Palm Hills Katameya Extension,Cash,Unknown,Semi Finished,New Cairo - El Tagamoa,فيلا لقطة ستاند الون للبيع فرصة لفترة محدودة بالم هيلز قطامية اكستنشن,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable
Stand Alone Villa,35000000.0,7,9,900,Yes,Unknown,Cash,Ready to move,Finished,Kafr Abdo,للبيع بكفر عبده فيلا مستقلة بحديقة خاصة مكونة من دورين  المساحة  900 م,Not Avilable,Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Avilable,Avilable,Not Avilable,Not Avilable,Avilable,Avilable,Avilable
Stand Alone Villa,20000000.0,4,4,"1,080",No,Palm Hills Katameya,Cash,Ready to move,Not Finished,New Cairo - El Tagamoa,"Palm hills katameya 
Standalone villa 
Prime location",Avilable,Avilable,Avilable,Not Avilable,Avilable,Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable
Stand Alone Villa,11500000.0,4,4,800,No,Rehab City,Unknown,Ready to move,Not Finished,Rehab City,فيلا نموذج N للبيع بالرحاب هيلز على ربوة ارض 800 متر مباني 360,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable
Twin House,13000000.0,5,4,415,Yes,Rehab City,Cash or Installment,Unknown,Finished,Rehab City,Villa Type J in Rehab hills (SuperLux finishing and furnished),Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable
Town House,9000000.0,3,3,500,Unknown,Unknown,Cash,Unknown,Finished,Rehab City,لقطه للبيع فيلا نموذج J الرحاب هيلز,Avilable,Avilable,Not Avilable,Not Avilable,Not Avilable,Avilable,Avilable,Avilable,Avilable,Not Avilable,Not Avilable,Avilable,Not Avilable
Stand Alone Villa,21000000.0,5,5,"1,100",Yes,Palm Hills Katameya,Cash,Ready to move,Semi Finished,New Cairo - El Tagamoa,فيلا 1100م / 900م مباني في بالم هيلز قطاميه بفيو مميز,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Not Avilable,Avilable,Not Avilable,Not Avilable
Stand Alone Villa,3000000.0,4,3,422,Unknown,Mountain View 3,Installment,2023,Semi Finished,New Cairo - El Tagamoa,"فيلا منفصلة ٤٢٢م مونتن فيو أي ستي 3,000,000",Avilable,Avilable,Avilable,Avilable,Avilable,Not Avilable,Avilable,Avilable,Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable
Twin House,14680000.0,4,4,376,No,Hyde Park New Cairo,Installment,Ready to move,Semi Finished,New Cairo - El Tagamoa,فيلا توين هاوس للبيع بالتقسيط بالتجمع الخامس بكمبوند هايد باركcompound,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable
Town House,6550000.0,4,2,220,No,Al Burouj,Cash or Installment,Unknown,Semi Finished,New Cairo - El Tagamoa,تاون هاوس220م للبيع بمقدم ZERO% واقساط متساوية تصل الى 14سنة فى البروج,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable
Stand Alone Villa,18000000.0,5,6,850,No,Unknown,Cash,Ready to move,Semi Finished,New Cairo - El Tagamoa,تصميم مميز جدا /فيلا ٨٥٠م بسعر مميز amazing type standalone palm hills,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable
Twin House,1634640.0,5,5,300,Unknown,Cleopatra Square,Cash or Installment,Ready to move,Semi Finished,Sheikh Zayed,ready to move twin house in cleopatra square on 26th jouly corridor,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable
Stand Alone Villa,51000000.0,7,10,"1,020",Unknown,Swan Lake,Cash or Installment,2024,Unknown,New Cairo - El Tagamoa,فيلا مستقلة ٧٠٧م قسط ٨ سنوات استلام سنتين سوان ليك التجمع موقع مميز,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable
Stand Alone Villa,10500000.0,4,4,470,No,Rehab City,Cash,Ready to move,Finished,Rehab City,فيلا نموزج فردي للبيع بمدينة الرحاب بسعر لقطه,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Not Avilable,Not Avilable,Not Avilable
Town House,775000.0,5,3,329,No,Sarai,Cash or Installment,soon,Semi Finished,New Cairo - El Tagamoa,خصم 35٪ على فيلا s villa بجاردن واسع فى القاهرة الجديده جنب مدينتى,Avilable,Avilable,Avilable,Avilable,Avilable,Not Avilable,Avilable,Avilable,Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable
Twin House,5528000.0,5,5,379,No,Cleopatra Palace,Cash or Installment,Ready to move,Finished,Shorouk City,ڤيلا استلام فوري للبيع متشطبة ع السكن امام مدينتي في الشروق بالتقسيط,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Not Avilable
Town House,530000.0,3,2,180,No,Unknown,Cash or Installment,Unknown,Unknown,New Cairo - El Tagamoa,فيلا 180م للبيع بالتجمع الاول امام المطار بالتقسيط,Avilable,Avilable,Avilable,Avilable,Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Avilable,Not Avilable,Not Avilable
Stand Alone Villa,25913346.0,5,3,410,No,Mountain View iCity,Installment,Ready to move,Semi Finished,New Cairo - El Tagamoa,"فرصة لاتعوض,, أستلم فورآ ستاندالون 410 مترفي ماونت فيو اقاهرة الجديدة",Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable
Town House,10000000.0,3,3,270,No,Hyde Park New Cairo,Cash,Ready to move,Finished,New Cairo - El Tagamoa,فيلا تاون هاوس ميدل متشطبة للبيع بكمبوند هايد بارك التجمع الخامس,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable
Stand Alone Villa,12000000.0,3,3,480,No,Madinaty,Cash,Ready to move,Finished,Madinaty,فيلا فردي مستقله نموذج X للبيع بمدينتي تشطيبات خاصة فيو جاردن,Avilable,Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable
Stand Alone Villa,25000000.0,4,5,428,Unknown,Unknown,Unknown,Unknown,Finished,Mokattam,Amazing Standalone With Amazing VIEW Ever In Uptown,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable
Stand Alone Villa,12700000.0,5,4,350,No,Creek Town,Cash or Installment,Unknown,Finished,New Cairo - El Tagamoa,ڤيلا مستقلة للبيع ف القاهرة الجديدة التجمع الأول عند الرحاب اقل مقدم,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Not Avilable
Town House,4500000.0,5,4,310,Unknown,Dreamland,Cash,Ready to move,Finished,6th of October,"فيلا تاون هاوس كورنر للبيع كمبوند دريم ""ليك دريم"" علي البحيرة مباشرة",Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Not Avilable
Stand Alone Villa,2540367.0,3,3,235,Unknown,Mountain View iCity,Unknown,Unknown,Unknown,New Cairo - El Tagamoa,اي فيلا جاردن للبيع في ماونتن فيواي ستي بمقدم واقساط,Avilable,Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable
Town House,5030100.0,3,3,183,No,Badya Palm Hills,Cash or Installment,2026,Core & Shell,6th of October,"فيلا Townhouse في بالم هيلز Palm Hills بمقدم 150,000 تقسيط 10 سنوات.",Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Not Avilable,Not Avilable,Not Avilable
Stand Alone Villa,25000000.0,8,4,"1,400",No,Moon Land,Cash,Ready to move,Unknown,Sheikh Zayed,فيلا للبيع في مون لاند الشيخ زايد,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Not Avilable,Avilable,Avilable,Not Avilable,Not Avilable
Stand Alone Villa,9500000.0,6,6,780,No,Royal Meadows,Cash,Ready to move,Semi Finished,Sheikh Zayed,فيلا في رويال ميدوز الشيخ زايد,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable
Town House,6828000.0,4,4,220,No,Al Burouj,Cash or Installment,soon,Semi Finished,Shorouk City,امتلك تاون هاوس بفيو مميز  بمقدم 0% وعلى 14 سنه لفترة محدوده,Avilable,Avilable,Avilable,Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Avilable,Not Avilable,Not Avilable,Not Avilable
Stand Alone Villa,1300000.0,3,2,288.97,Unknown,Unknown,Cash or Installment,soon,Finished,Ain Sukhna,فيلا للبيع في قرية المونت جلالة العين السخنة 288م il monte galala,Avilable,Avilable,Avilable,Avilable,Avilable,Not Avilable,Avilable,Avilable,Avilable,Not Avilable,Not Avilable,Not Avilable,Avilable
Twin House,9800000.0,4,3,360,No,Unknown,Cash,Ready to move,Unknown,North Coast,special Twin house for sale in مراسى الساحل الشمالى,Not Avilable,Avilable,Avilable,Avilable,Not Avilable,Not Avilable,Avilable,Avilable,Avilable,Not Avilable,Avilable,Not Avilable,Not Avilable
Stand Alone Villa,4400000.0,5,5,339,Unknown,Unknown,Cash or Installment,Ready to move,Finished,Shorouk City,فيلا للبيع 339م استلام فورى تشطيب سوبر لوكس بالتكيفات والمطبخ بالشروق,Avilable,Avilable,Not Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable
Stand Alone Villa,14500000.0,3,3,245,Unknown,Unknown,Unknown,Unknown,Finished,New Cairo - El Tagamoa,Amazing Villa With Best View And Location In - Mivida Emaar,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable
Town House,175000.0,4,2,365,No,New Giza,Cash,Unknown,Unknown,Hadayek al-Ahram,فيلا للبيع,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable
Town House,1613000.0,4,5,225,No,Azzar,Installment,2025,Core & Shell,New Cairo - El Tagamoa,باقل سعر في السوق تاون هاوس ميدل للبيع في ازار 2 كمبوند,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable
Stand Alone Villa,7554500.0,3,4,264,Unknown,Badya Palm Hills,Cash or Installment,Unknown,Finished,6th of October,فيلا مستقلة استلام فورا قسط 10 سنين فى BADYA,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable
Twin House,15000000.0,4,5,359,No,Taj City,Installment,Ready to move,Core & Shell,New Cairo - El Tagamoa,استلم فليتك فورا ب 14% فقط و اسكن من بكرة  بكمبوند taj city new cairo,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Not Avilable,Not Avilable,Avilable
Stand Alone Villa,3800000.0,5,4,"1,000",No,Unknown,Cash or Installment,Ready to move,Finished,Borg al-Arab,فيلا كلاسيك كينج مريوط,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Not Avilable,Avilable,Avilable,Avilable,Avilable,Not Avilable
Twin House,11000000.0,4,5,366,No,Les Rois,Cash,Ready to move,Finished,New Cairo - El Tagamoa,توين هاوس للبيع فى كومباوند les rois تشطيب سوبر لوكس,Avilable,Avilable,Avilable,Not Avilable,Not Avilable,Not Avilable,Avilable,Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Avilable
Stand Alone Villa,7912724.0,4,3,317.9,Yes,Unknown,Cash or Installment,Ready to move,Semi Finished,Shorouk City,فيلا مستقلة بكومباوند the villas  - مدينة الشروق,Avilable,Not Avilable,Avilable,Avilable,Not Avilable,Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable
Town House,5000000.0,4,5,260,No,Layan,Cash,Ready to move,Semi Finished,New Cairo - El Tagamoa,تاون ميدل للبيع 260م بكمبوند ليان ريزيدنس التجمع الخامس نيو كايرو,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Not Avilable,Avilable,Avilable,Not Avilable
Stand Alone Villa,15607760.0,5,4,369,No,Mountain View - October Park,Cash or Installment,2023,Finished,6th of October,فيلا للبيع متشطبة وبتقسيط علي 9 س في أكتوبر كومبوند ماونتن فيو 4,Avilable,Avilable,Avilable,Not Avilable,Not Avilable,Not Avilable,Avilable,Avilable,Avilable,Not Avilable,Avilable,Avilable,Not Avilable
Stand Alone Villa,12000000.0,4,4,375,No,Hyde Park New Cairo,Cash,Ready to move,Semi Finished,New Cairo - El Tagamoa,Standalone Hyde Park 375m NC فيلا منفصلة هايد بارك 375 متر التجمع,Avilable,Avilable,Not Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable
Town House,371026.0,4,4,218,No,Monte Napoleon,Cash or Installment,Unknown,Finished,Mostakbal City,فيلا للبيع تشطيب سوبر لوكس بالمطبخ+الدريسينج بمقدم347 الف وتقسيط100شهر,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable
Stand Alone Villa,17998000.0,6,5,707,No,Al Diyar,Cash,Ready to move,Finished,New Cairo - El Tagamoa,فيلا مستقله في كمبوند الديار المخابرات متشطبة بالتكييفاتAl Diar,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Not Avilable,Avilable,Not Avilable,Avilable
Town House,450000.0,4,4,196,Unknown,Unknown,Cash or Installment,Unknown,Finished,Hadayek 6th of October,تاون هاوس 196م للبيع في O West بمقدم 5% متشطبه سوبر لوكس بجوار مول مصر,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable
Town House,10250000.0,3,3,200,No,Mivida,Cash,Ready to move,Finished,New Cairo - El Tagamoa,تاون هاوس متشطب فى ميفيدا التجمع الخامس متشطب استلام فورى MIVIDA,Avilable,Avilable,Avilable,Not Avilable,Avilable,Not Avilable,Avilable,Avilable,Avilable,Not Avilable,Avilable,Avilable,Not Avilable
Town House,7073000.0,5,4,233,No,Sodic East,Cash or Installment,Unknown,Unknown,Shorouk City,فيلا الشروق للبيع بمقدم 5% بسس وقسط يصل ل8س بدون عمولة واسعار مميزة جد,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Not Avilable,Not Avilable,Not Avilable,Avilable,Not Avilable,Not Avilable,Not Avilable
Stand Alone Villa,2700000.0,3,3,441,No,Madinaty,Cash,soon,Not Finished,Madinaty,فيلا للبيع في مدينتي بأقل مقدم نموذج D3,Avilable,Avilable,Avilable,Not Avilable,Not Avilable,Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable
Town House,955000.0,4,3,243,No,Trio Gardens,Cash or Installment,2023,Finished,New Cairo - El Tagamoa,فيلا للبيع ف التجمع الخامس بالتقسيط ع8سنين ف تريو جاردنز بكامل التشطيب,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Not Avilable
Stand Alone Villa,9000000.0,10+,10+,770,No,Unknown,Cash,Ready to move,Not Finished,New Cairo - El Tagamoa,للبيع فيلا فخمة بالتمرحنة 2 بحرية على حديقة مبنية بالكامل,Not Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable
Stand Alone Villa,12000000.0,10+,10+,600,No,Unknown,Cash,Unknown,Unknown,West Somid,فيلا 600م للبيع في غرب سوميد متشطبة ما عدا التاني,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable
Stand Alone Villa,12800000.0,4,4,450,Unknown,Gardenia Springs,Cash,Ready to move,Not Finished,New Cairo - El Tagamoa,لسرعه البيع الفورى فيلا مستقله 850متر بكمبوند جاردينا سبرنجز- فيو رائع,Avilable,Avilable,Avilable,Not Avilable,Not Avilable,Avilable,Avilable,Avilable,Not Avilable,Avilable,Not Avilable,Not Avilable,Not Avilable
Town House,6000000.0,4,5,292,No,Moon Valley,Cash,Unknown,Finished,New Cairo - El Tagamoa,تاون هاوس متشطب في مون فالي 1 moon valley 1,Avilable,Avilable,Avilable,Not Avilable,Not Avilable,Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Avilable,Not Avilable
Twin House,6600000.0,4,5,283,No,Layan,Cash,Ready to move,Semi Finished,New Cairo - El Tagamoa,توين هاوس للبيع بكمبوند ليان ريزيدنس صبور التجمع الخامس نيو كايرو,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Not Avilable,Avilable,Avilable,Not Avilable
Twin House,8700000.0,3,4,325,No,Villino,Cash,Unknown,Finished,New Cairo - El Tagamoa,فيلا توين 325م متشطبة للبيع بكمبوند فيلينو القاهرة الجديدة تسليم فوري,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable
Stand Alone Villa,10625000.0,4,5,340,Unknown,Sodic East,Cash or Installment,Ready to move,Core & Shell,New Heliopolis,فيلا MV  للبيع بسوديك ايست فيو مميز استلام فوري,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable
Town House,2450000.0,4,3,224,No,Moon Hillls,Installment,2024,Semi Finished,6th of October,فيلا تاون هاوس 224م بسعر شقة كمبوند مون هيلز اكتوبر بالتقسيط,Avilable,Avilable,Avilable,Not Avilable,Avilable,Not Avilable,Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable
Stand Alone Villa,12000000.0,4,4,700,Unknown,Unknown,Unknown,Unknown,Not Finished,Rehab City,فيلا نموذج O للبيع بالرحاب هيلز فيو وايد جاردن,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable
Twin House,6935645.0,5,4,837,No,El Karma 4,Cash or Installment,Ready to move,Semi Finished,Sheikh Zayed,اسكن دلوقتي في احسن موقع في الشيخ زايد توين هاوس 837م بالقسط,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Not Avilable,Not Avilable,Not Avilable,Avilable,Avilable,Avilable,Not Avilable
Twin House,409750.0,4,5,240,No,Tawny,Cash or Installment,Unknown,Unknown,Sheikh Zayed,فيلا للبيع 240م أصدار جديد من شركة هايد بارك كمبوند تاونى,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Not Avilable,Not Avilable,Avilable
Stand Alone Villa,5850000.0,5,4,420,No,Dreamland,Cash or Installment,Ready to move,Finished,6th of October,فيلا 420 م للبيع بكمبوند دريم لاند الزيرو لوط هاي سوبر لوكس بالتقسيط7س,Avilable,Not Avilable,Avilable,Avilable,Avilable,Not Avilable,Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable
Twin House,6750000.0,4,4,281,No,EL Patio 5,Cash,Ready to move,Semi Finished,Shorouk City,توين هاوس بكمبوند الباتيو 5|استلام فورى|موقع مميز|نصف تشطيب,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable
Town House,5200000.0,6,4,295,No,Unknown,Cash,Ready to move,Finished,Sheikh Zayed,للبيع تاون هاوس 6 غرف كمباوند حدائق المهندسين موقع مميز لوكس,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Not Avilable,Avilable,Avilable,Not Avilable
Stand Alone Villa,13871291.0,5,5,837,No,El Karma 4,Cash or Installment,Ready to move,Semi Finished,Sheikh Zayed,عاين فيلتك 837م واستلم فورى وقسط ع 5سنين بقلب الشيخ زايد,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable
Town House,7300000.0,3,3,33,Unknown,Unknown,Unknown,Unknown,Unknown,Sheikh Zayed,تاون هاوس بكمبوند owest تشطيب كامل قسط8سنين,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable
Twin House,6600000.0,4,4,226,No,El Patio,Cash or Installment,Ready to move,Semi Finished,Sheikh Zayed,اخر توين هاوس بباتيو الزهراء للبيع بجوار الربوة واليجريا,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable
Town House,4188798.0,3,4,245,Unknown,Al Burouj,Cash or Installment,Ready to move,Finished,Shorouk City,تاون هاوس بحري للبيع فى كمبوند البروج استلام فوري,Not Avilable,Avilable,Avilable,Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Avilable,Not Avilable,Avilable,Not Avilable
Twin House,7900000.0,4,4,226,No,Unknown,Cash or Installment,Unknown,Semi Finished,Sheikh Zayed,"فرصه أخر فيلا متاحه في patio zahraa أمام الربوه
بأقساط على5سنين",Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable
Town House,6564000.0,4,3,377,Unknown,Al Maqsad,Installment,Ready to move,Finished,New Capital City,بمقدم 260 الف هتسكن في العاصمة الادارية بفيلا متشطبة بكمبوند المقصد,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Not Avilable,Avilable
